X,Y,osm_id,code,fclass,year
115.7882794,40.2495859,1062687612,2950,tower,2014
115.8084427,40.255326,1062687767,2950,tower,2014
115.8158251,40.2494114,1062687928,2950,tower,2014
115.8132148,40.2511929,1062688123,2950,tower,2014
115.8072594,40.2565106,1062688227,2950,tower,2014
115.7936017,40.2587719,1062688687,2950,tower,2014
115.753717,40.1716014,1062756171,2950,tower,2014
115.8125966,40.1676729,1062756215,2950,tower,2014
115.7637375,40.1787366,1062756217,2950,tower,2014
115.7697529,40.1887805,1062756399,2950,tower,2014
115.7586674,40.1791143,1062756494,2950,tower,2014
115.7719414,40.1882791,1062756543,2950,tower,2014
115.8098577,40.1699989,1062756738,2950,tower,2014
115.7639646,40.1775605,1062756751,2950,tower,2014
115.8155361,40.1717433,1062756873,2950,tower,2014
115.7668242,40.1859188,1062756904,2950,tower,2014
115.7553058,40.1734122,1062756930,2950,tower,2014
115.7524489,40.1703691,1062756951,2950,tower,2014
115.7564517,40.1775471,1062757059,2950,tower,2014
115.7616395,40.1742746,1062757109,2950,tower,2014
115.7758118,40.1908622,1062757204,2950,tower,2014
115.7501313,40.1709335,1062757223,2950,tower,2014
115.7494492,40.1700034,1062757224,2950,tower,2014
115.7634176,40.1762738,1062757225,2950,tower,2014
115.7510847,40.1702942,1062757228,2950,tower,2014
115.7612177,40.1737072,1062757236,2950,tower,2014
115.8097011,40.1684307,1062757240,2950,tower,2014
115.8447704,40.25407,1066515026,2950,tower,2014
115.8601093,40.2520056,1066515046,2950,tower,2014
115.8343624,40.252134,1066515151,2950,tower,2014
115.8951757,40.2511444,1066515232,2950,tower,2014
115.8410449,40.2512762,1066515428,2950,tower,2014
115.8256544,40.2479658,1066515495,2950,tower,2014
115.8272814,40.2469581,1066515636,2950,tower,2014
115.8598311,40.2523421,1066515698,2950,tower,2014
115.8812018,40.2516511,1066515726,2950,tower,2014
115.8218954,40.2481912,1066515779,2950,tower,2014
115.8227689,40.2487676,1066515794,2950,tower,2014
115.8335582,40.2514184,1066515930,2950,tower,2014
115.8245396,40.2494218,1066515961,2950,tower,2014
115.8542824,40.2652256,1066516070,2950,tower,2014
115.8398976,40.2534012,1066516126,2950,tower,2014
115.8601007,40.2553479,1066516138,2950,tower,2014
115.8934745,40.2510234,1066516193,2950,tower,2014
115.8586834,40.2560575,1066516268,2950,tower,2014
115.8595482,40.2557728,1066516285,2950,tower,2014
115.8590925,40.2544988,1066516387,2950,tower,2014
115.8579813,40.2567357,1066516571,2950,tower,2014
115.8603783,40.2517957,1066516604,2950,tower,2014
115.8979034,40.250897,1066516773,2950,tower,2014
115.8607668,40.2514803,1066516827,2950,tower,2014
115.8829805,40.2517661,1066516852,2950,tower,2014
115.8364482,40.2514737,1066516950,2950,tower,2014
115.8310854,40.2520337,1066516973,2950,tower,2014
115.8589229,40.2507567,1066517043,2950,tower,2014
115.8960597,40.2509751,1066517060,2950,tower,2014
115.8575777,40.2575406,1066517143,2950,tower,2014
115.8383781,40.2515665,1066517157,2950,tower,2014
