X,Y,osm_id,code,fclass,year,
121.6596713,31.8103043,2355544449,2566,bicycle_rental,2017,
121.6458092,31.8109164,2355544452,2566,bicycle_rental,,
121.6264099,31.8234645,2355544461,2566,bicycle_rental,2017,
121.6717571,31.8190575,2355544464,2566,bicycle_rental,2017,
121.6631786,31.8073277,2355544467,2566,bicycle_rental,,
121.6526355,31.8124678,2355544470,2566,bicycle_rental,,
121.6678811,31.8213852,2355544482,2566,bicycle_rental,2017,
121.6557285,31.8067168,2355544485,2566,bicycle_rental,2017,
121.6634822,31.8145854,2355544500,2566,bicycle_rental,,
121.6537814,31.8032375,2355544503,2566,bicycle_rental,,
121.5214144,31.3245151,2355589748,2906,waste_basket,2017,
121.5188905,31.3245333,2355589820,2110,hospital,2017,
121.5183111,31.3243248,2355589837,2511,convenience,2017,
121.5184855,31.3243341,2355589856,2906,waste_basket,2017,
121.5172382,31.3234221,2355589858,2906,waste_basket,2017,
121.5161868,31.3250809,2355593165,2906,waste_basket,2017,
121.5172168,31.3224941,2355593169,2906,waste_basket,2017,
121.5178066,31.3224071,2355593189,2906,waste_basket,2017,
121.5512318,31.2081763,2359708667,2602,atm,2017,
121.4865899,31.2345742,2367497382,2301,restaurant,2017,
121.4756879,31.237516,2367498370,2304,pub,2017,
121.4747276,31.2373509,2367498375,2304,pub,2017,
121.4762136,31.2376857,2367498377,2302,fast_food,2017,
121.4474835,31.2759309,2393674340,2301,restaurant,2017,
121.4955062,31.2140587,2401741205,2401,hotel,2017,
121.4248923,31.2041891,2407464717,2303,cafe,2017,
121.4256477,31.2022111,2426359023,2301,restaurant,2017,
121.5651996,31.1164884,2439949611,2504,mall,,
121.4472779,31.1565665,2447826143,2005,post_office,2017,
121.4871259,31.2285156,2485006011,2301,restaurant,,
121.3789834,31.1955754,2488970467,2303,cafe,2017,
121.4164835,31.2820902,2503380138,2501,supermarket,2017,
121.4161033,31.2812239,2503380139,2501,supermarket,2017,
121.4165215,31.2817978,2503380267,2301,restaurant,,
121.4462348,31.2854903,2517773322,2401,hotel,,
121.4628055,31.2062893,2531707867,2301,restaurant,2017,
121.4638999,31.2106664,2531707870,2305,bar,2017,
121.4728561,31.201224,2533196117,2301,restaurant,2017,
121.4791218,31.204078,2533196549,2301,restaurant,2017,
121.6428169,31.8190743,2536291826,2950,tower,2017,
121.4851904,31.2403725,2537680003,2305,bar,2017,
121.350439,31.2259426,2542672235,2601,bank,2017,
121.3547064,31.2221841,2542678241,2302,fast_food,2017,
121.3541565,31.2218905,2542678268,2601,bank,2017,
121.354406,31.2221291,2542678533,2511,convenience,2017,
121.3541619,31.2211726,2542678714,2302,fast_food,,
121.349625,31.224825,2542799128,2601,bank,2017,
121.3504136,31.2218937,2542802172,2303,cafe,2017,
121.3473975,31.2321773,2542805961,2301,restaurant,2017,
121.4370822,31.2550071,2544337469,2601,bank,2017,
121.4395753,31.2492012,2544337471,2601,bank,2017,
121.4301627,31.2532513,2544343025,2501,supermarket,2017,
121.4274429,31.252716,2544345970,2302,fast_food,2017,
121.4352032,31.2563466,2544351231,2301,restaurant,2017,
121.3257521,31.1324388,2560977543,2204,park,2017,
121.3032171,31.2920755,2561659829,2721,attraction,2017,
120.8652379,31.4407472,2561669844,2301,restaurant,2017,
121.5788367,31.1275954,2596260645,2303,cafe,2017,
121.440834,31.2222257,2613043682,2601,bank,2017,
121.4348592,31.199323,2614275766,2401,hotel,2017,
121.531772,31.1651193,2614432495,2601,bank,2017,
121.3755724,31.132514,2617290443,2901,toilet,2017,
121.3729636,31.1329806,2617290444,2901,toilet,2017,
121.3753934,31.1330957,2617290467,2252,pitch,2017,
121.3751366,31.132807,2617290468,2902,bench,2017,
121.3751227,31.1328502,2617290469,2906,waste_basket,2017,
121.4006734,31.1441907,2618226521,2501,supermarket,,
121.3950928,31.1454414,2618228175,2501,supermarket,2017,
121.2744856,31.3939993,2618311936,2001,police,2017,
121.2693234,31.3892573,2618438165,2303,cafe,2017,
121.2690084,31.3846472,2618445937,2501,supermarket,2017,
121.246615,31.3894324,2618462581,2110,hospital,,
121.3968864,31.1481589,2618670171,2001,police,2017,
121.4201204,31.1741882,2618691910,2203,cinema,,
121.4987784,31.2862518,2625540206,2204,park,2017,
121.2401254,31.0101651,2632121365,2724,memorial,2017,
121.4333597,31.1753882,2633636492,2501,supermarket,2017,
121.3770155,31.1302763,2636302462,2901,toilet,2017,
121.3768101,31.1305108,2636302463,2742,viewpoint,2017,
121.3768981,31.1305532,2636302464,2032,recycling_paper,2017,
121.377564,31.12877,2636302541,2032,recycling_paper,2017,
121.3775882,31.1287432,2636302542,2902,bench,2017,
121.3780232,31.1292395,2636302543,2902,bench,2017,
121.3775177,31.129393,2636302544,2032,recycling_paper,2017,
121.3767022,31.1284926,2636302595,2902,bench,2017,
121.3768688,31.1285842,2636302596,2032,recycling_paper,2017,
121.3769691,31.1290723,2636302597,2742,viewpoint,2017,
121.3765614,31.1288083,2636302598,2902,bench,2017,
121.3764085,31.1289874,2636302599,2902,bench,2017,
121.3756991,31.1298851,2636302609,2902,bench,2017,
121.3764206,31.131211,2636302625,2742,viewpoint,2017,
121.3764219,31.1294535,2636302628,2032,recycling_paper,2017,
121.3763119,31.1292962,2636302629,2902,bench,2017,
121.3760893,31.1294535,2636302630,2902,bench,2017,
121.3761886,31.1297818,2636302631,2902,bench,2017,
121.3764098,31.128356,2636302643,2901,toilet,2017,
121.3742694,31.132949,2636302646,2742,viewpoint,2017,
121.3734836,31.1339248,2636302647,2902,bench,2017,
121.5823399,31.2670799,2653472890,2601,bank,2017,
121.5831687,31.2718749,2653473986,2601,bank,2017,
121.4600675,31.2424033,2657164442,2405,hostel,2017,
121.4455378,31.22324,2657369071,2301,restaurant,,
121.3443167,31.2114983,2659420081,2601,bank,2017,
121.3438654,31.2115415,2659427752,2501,supermarket,2017,
121.3437496,31.2111606,2659429900,2101,pharmacy,,
121.3443048,31.2120658,2659432746,2528,greengrocer,,
121.3439171,31.2123201,2659433553,2301,restaurant,2017,
121.3437437,31.2113079,2659436759,2301,restaurant,2017,
121.3437615,31.211511,2659437409,2301,restaurant,2017,
121.3439782,31.211577,2659438321,2301,restaurant,,
121.3545672,31.2111258,2661486400,2501,supermarket,2017,
121.3649691,31.2108229,2661488966,2301,restaurant,,
121.3663662,31.2109897,2661490476,2203,cinema,2017,
121.3654199,31.210626,2661490915,2301,restaurant,,
121.3533807,31.2218856,2661495142,2601,bank,2017,
121.3512855,31.211413,2661504411,2901,toilet,2017,
121.4599593,31.1991854,2662669856,2401,hotel,2017,
121.4604213,31.2014666,2662672878,2511,convenience,2017,
121.4559927,31.2042372,2662679264,2601,bank,2017,
121.3558221,31.2199739,2662819774,2901,toilet,2017,
121.3591055,31.219627,2686090278,2301,restaurant,2017,
121.3545308,31.2114846,2686147069,2528,greengrocer,,
121.3542492,31.2111543,2686148485,2511,convenience,,
121.3552633,31.2110645,2686149282,2516,butcher,,
121.3656566,31.2107276,2686150301,2301,restaurant,,
121.3655198,31.2106932,2686150647,2301,restaurant,,
121.4603029,31.1994036,2686153222,2901,toilet,2017,
121.4602639,31.1990458,2686153333,2528,greengrocer,2017,
121.4570303,31.2024435,2687821365,2501,supermarket,2017,
